stateDescription,fueltypeid,period,predicted_energy_production_KWh
Iowa,SUN,2024,588744192.4286194
Iowa,SUN,2025,674265819.5959473
Iowa,WND,2023,72070720138.07324
Iowa,WND,2024,75000781469.875
Iowa,WND,2025,77930842801.67773
Kansas,COL,2023,50378147328.37012
Kansas,COL,2024,46471801155.53223
Kansas,COL,2025,42565454982.69531
Kansas,NG,2023,8514389819.2453
Kansas,NG,2024,8629207515.47583
Kansas,NG,2025,8744025211.70633
Kansas,NUC,2023,30094863447.08069
Kansas,NUC,2024,30504112887.539673
Kansas,NUC,2025,30913362327.998657
Kansas,PET,2023,349757378.7669487
Kansas,PET,2024,362960211.1470833
Kansas,PET,2025,376163043.52721405
Kansas,SUN,2023,121522896.07906723
Kansas,SUN,2024,136978487.40729904
Kansas,SUN,2025,152434078.73553467
Kansas,WND,2023,55018824560.80371
Kansas,WND,2024,57985128993.458984
Kansas,WND,2025,60951433426.11426
Kentucky,COL,2023,121578973162.85547
Kentucky,COL,2024,108739384976.51562
Kentucky,COL,2025,95899796790.17578
Kentucky,NG,2023,41105648801.362305
Kentucky,NG,2024,44113137261.90625
Kentucky,NG,2025,47120625722.45117
Kentucky,PET,2023,0.0
Kentucky,PET,2024,0.0
Kentucky,PET,2025,0.0
Kentucky,SUN,2023,127068044.9493599
Kentucky,SUN,2024,137102623.93909454
Kentucky,SUN,2025,147137202.9288292
Louisiana,COL,2023,11877266217.246094
Louisiana,COL,2024,6794540073.662109
Louisiana,COL,2025,1711813930.0761719
Louisiana,NG,2023,107578080980.96191
Louisiana,NG,2024,109861843954.05762
Louisiana,NG,2025,112145606927.15332
Louisiana,NUC,2023,45765106027.96118
Louisiana,NUC,2024,45170349859.33716
Louisiana,NUC,2025,44575593690.713135
Louisiana,PET,2023,9913830638.626099
Louisiana,PET,2024,9615474949.738647
Louisiana,PET,2025,9317119260.851074
Louisiana,SUN,2023,313505450.3557434
Louisiana,SUN,2024,371195025.1298828
Louisiana,SUN,2025,428884599.9040375
Maine,COL,2023,85379808.68096018
Maine,COL,2024,86658957.62299013
Maine,COL,2025,87938106.56502008
Maine,NG,2023,4260822627.0616455
Maine,NG,2024,3900822736.4542236
Maine,NG,2025,3540822845.846924
Maine,PET,2023,272901081.6166687
Maine,PET,2024,233300449.08674622
Maine,PET,2025,193699816.55682373
Maine,SUN,2023,504861286.105011
Maine,SUN,2024,601760315.9932556
Maine,SUN,2025,698659345.8815002
Maine,WND,2023,5591746528.456482
Maine,WND,2024,5826447973.198059
Maine,WND,2025,6061149417.939575
Maryland,COL,2023,4614158319.857422
Maryland,COL,2024,0.0
Maryland,COL,2025,0.0
Maryland,NG,2023,33685120123.291992
Maryland,NG,2024,35967723063.12305
Maryland,NG,2025,38250326002.953125
Maryland,NUC,2023,46581162841.04907
Maryland,NUC,2024,46847464000.81604
Maryland,NUC,2025,47113765160.58307
Maryland,PET,2023,325454669.62368774
Maryland,PET,2024,275683549.8842468
Maryland,PET,2025,225912430.14482117
Maryland,SUN,2023,1326705687.6169434
Maryland,SUN,2024,1433542002.2673035
Maryland,SUN,2025,1540378316.9176636
Maryland,WND,2023,1215866041.4737854
Maryland,WND,2024,1246831576.468254
Maryland,WND,2025,1277797111.4627228
Massachusetts,COL,2023,0.0
Massachusetts,COL,2024,0.0
Massachusetts,COL,2025,0.0
Massachusetts,NG,2023,28510914962.709473
Massachusetts,NG,2024,26383763043.91455
Massachusetts,NG,2025,24256611125.11963
Massachusetts,NUC,2023,8742155880.479248
Massachusetts,NUC,2024,8002302724.44873
Massachusetts,NUC,2025,7262449568.418457
Massachusetts,PET,2023,810568931.7003174
Massachusetts,PET,2024,775113947.263031
Massachusetts,PET,2025,739658962.8257599
Massachusetts,SUN,2023,3406116019.9351196
Massachusetts,SUN,2024,3673093890.4644165
Massachusetts,SUN,2025,3940071760.9937744
Massachusetts,WND,2023,450988396.80911255
Massachusetts,WND,2024,459890150.37153625
Massachusetts,WND,2025,468791903.93395996
Michigan,COL,2023,83500469008.5293
Michigan,COL,2024,75132392763.20703
Michigan,COL,2025,66764316517.88281
Michigan,NG,2023,99160947549.90625
Michigan,NG,2024,105147800752.77148
Michigan,NG,2025,111134653955.63477
Michigan,NUC,2023,92384168903.51712
Michigan,NUC,2024,92251896970.02484
Michigan,NUC,2025,92119625036.53253
Michigan,PET,2023,3813756358.5150757
Michigan,PET,2024,4038919853.591919
Michigan,PET,2025,4264083348.668762
Michigan,SUN,2023,1133960939.2218018
Michigan,SUN,2024,1292401411.8466187
Michigan,SUN,2025,1450841884.4714355
Michigan,WND,2023,16687012298.172363
Michigan,WND,2024,17623564644.01953
Michigan,WND,2025,18560116989.866943
Minnesota,COL,2023,41744863348.89746
Minnesota,COL,2024,38253680661.88867
Minnesota,COL,2025,34762497974.88086
Minnesota,NG,2023,28105168449.384277
Minnesota,NG,2024,29569921187.294434
Minnesota,NG,2025,31034673925.2041
Minnesota,NUC,2023,43530521597.78369
Minnesota,NUC,2024,44007386656.410034
Minnesota,NUC,2025,44484251715.03638
Minnesota,PET,2023,221057814.14878464
Minnesota,PET,2024,231672519.806942
Minnesota,PET,2025,242287225.46509933
Minnesota,SUN,2023,3776063230.036499
Minnesota,SUN,2024,4147432191.8216553
Minnesota,SUN,2025,4518801153.606934
Minnesota,WND,2023,25743421235.5448
Minnesota,WND,2024,25995504551.53772
Minnesota,WND,2025,26247587867.5307
Mississippi,COL,2023,11552911820.154785
Mississippi,COL,2024,9917883392.851562
Mississippi,COL,2025,8282854965.547852
Mississippi,NG,2023,123298272920.32129
Mississippi,NG,2024,127345931116.2002
Mississippi,NG,2025,131393589312.0791
Mississippi,NUC,2023,28801980003.102737
Mississippi,NUC,2024,28855797777.324387
Mississippi,NUC,2025,28909615551.546036
Mississippi,PET,2023,0.0
Mississippi,PET,2024,0.0
Mississippi,PET,2025,0.0
Mississippi,SUN,2023,942050578.1187134
Mississippi,SUN,2024,1022401454.7076416
Mississippi,SUN,2025,1102752331.2966003
Missouri,COL,2023,143258455074.00586
Missouri,COL,2024,135831169594.10742
Missouri,COL,2025,128403884114.20898
Missouri,NG,2023,20280373936.768066
Missouri,NG,2024,21090327129.37085
Missouri,NG,2025,21900280321.973633
Missouri,NUC,2023,24419036503.333008
Missouri,NUC,2024,23970244555.032837
Missouri,NUC,2025,23521452606.732544
Missouri,PET,2023,603480726.9087448
Missouri,PET,2024,633778427.0075912
Missouri,PET,2025,664076127.1064377
Missouri,SUN,2023,264200638.89429474
Missouri,SUN,2024,285572162.84155273
Missouri,SUN,2025,306943686.7888031
Missouri,WND,2023,10096387287.635986
Missouri,WND,2024,10747585788.191895
Missouri,WND,2025,11398784288.748047
Montana,COL,2023,33121673909.359863
Montana,COL,2024,31626911569.87451
Montana,COL,2025,30132149230.38916
Montana,NG,2023,2272079691.6694336
Montana,NG,2024,2361739690.608124
Montana,NG,2025,2451399689.5467834
Montana,PET,2023,1453176069.9421225
