state-name,fuel-name,period,predicted_value
Nebraska,Coal,2023,22.04593541106719
Nebraska,Coal,2024,22.077055387351777
Nebraska,Coal,2025,22.108175363636363
Nebraska,Natural Gas,2023,0.5539002964426878
Nebraska,Natural Gas,2024,0.5689340928853746
Nebraska,Natural Gas,2025,0.5839678893280649
Nebraska,Petroleum,2023,0.02203157312252968
Nebraska,Petroleum,2024,0.02165489624505934
Nebraska,Petroleum,2025,0.02127821936758889
Nevada,All Fuels,2023,10.499046565217213
Nevada,All Fuels,2024,9.915870771739037
Nevada,All Fuels,2025,9.33269497826086
Nevada,Coal,2023,0.0
Nevada,Coal,2024,0.0
Nevada,Coal,2025,0.0
Nevada,Natural Gas,2023,12.081308134387314
Nevada,Natural Gas,2024,12.309251823122509
Nevada,Natural Gas,2025,12.537195511857703
Nevada,Petroleum,2023,0.0
Nevada,Petroleum,2024,0.0
Nevada,Petroleum,2025,0.0
New Hampshire,All Fuels,2023,1.5105468379446734
New Hampshire,All Fuels,2024,1.2723923171936917
New Hampshire,All Fuels,2025,1.03423779644271
New Hampshire,Coal,2023,0.0
New Hampshire,Coal,2024,0.0
New Hampshire,Coal,2025,0.0
New Hampshire,Natural Gas,2023,2.0557387826086924
New Hampshire,Natural Gas,2024,2.0839069673913
New Hampshire,Natural Gas,2025,2.112075152173908
New Hampshire,Petroleum,2023,0.0
New Hampshire,Petroleum,2024,0.0
New Hampshire,Petroleum,2025,0.0
New Jersey,All Fuels,2023,14.765781300395247
New Jersey,All Fuels,2024,14.565601720355744
New Jersey,All Fuels,2025,14.365422140316184
New Jersey,Coal,2023,0.0
New Jersey,Coal,2024,0.0
New Jersey,Coal,2025,0.0
New Jersey,Natural Gas,2023,16.31190854940712
New Jersey,Natural Gas,2024,16.74061234881424
New Jersey,Natural Gas,2025,17.16931614822124
New Jersey,Petroleum,2023,0.0
New Jersey,Petroleum,2024,0.0
New Jersey,Petroleum,2025,0.0
New Mexico,All Fuels,2023,18.529794596837974
New Mexico,All Fuels,2024,17.827453291502025
New Mexico,All Fuels,2025,17.125111986166075
New Mexico,Coal,2023,12.86520792490137
New Mexico,Coal,2024,12.004877969367726
New Mexico,Coal,2025,11.144548013834083
New Mexico,Natural Gas,2023,5.593408059288549
New Mexico,Natural Gas,2024,5.749269901185755
New Mexico,Natural Gas,2025,5.905131743083018
New Mexico,Petroleum,2023,0.07117851778656181
New Mexico,Petroleum,2024,0.07330531818181818
New Mexico,Petroleum,2025,0.07543211857707544
New York,All Fuels,2023,16.699212031620846
New York,All Fuels,2024,14.963007834980544
New York,All Fuels,2025,13.226803638340243
New York,Coal,2023,0.0
New York,Coal,2024,0.0
New York,Coal,2025,0.0
New York,Natural Gas,2023,25.895617407114628
New York,Natural Gas,2024,26.23795706422925
New York,Natural Gas,2025,26.58029672134387
New York,Petroleum,2023,0.0
New York,Petroleum,2024,0.0
New York,Petroleum,2025,0.0
North Carolina,All Fuels,2023,39.44382632806355
North Carolina,All Fuels,2024,37.701235156126586
North Carolina,All Fuels,2025,35.958643984190076
North Carolina,Coal,2023,17.845647434782222
North Carolina,Coal,2024,15.03243511956498
North Carolina,Coal,2025,12.219222804347737
North Carolina,Natural Gas,2023,21.43428183003971
North Carolina,Natural Gas,2024,22.513212073122304
North Carolina,Natural Gas,2025,23.592142316205354
North Carolina,Petroleum,2023,0.16389727272727228
North Carolina,Petroleum,2024,0.15558819762845744
North Carolina,Petroleum,2025,0.1472791225296426
North Dakota,All Fuels,2023,27.951445679841868
North Dakota,All Fuels,2024,27.792014522727243
North Dakota,All Fuels,2025,27.632583365612618
