period,location,stateDescription,fueltypeid,energy_production_MWh
2011,NV,Nevada,COL,17.6433590505548
2011,IL,Illinois,SUN,0.0400423002941
2011,VT,Vermont,WND,0.09449197438939999
2011,SC,South Carolina,NUC,162.2619249738169
2011,IA,Iowa,NUC,15.993521323411198
2011,IA,Iowa,COL,113.45348505291518
2011,MT,Montana,WND,3.6025380287359
2011,MD,Maryland,NUC,44.152557575214594
2011,MD,Maryland,COL,63.9965755675566
2011,TX,Texas,NG,391.0593119174432
2011,LA,Louisiana,NUC,50.953072466237
2011,DE,Delaware,SUN,0.023577567581499998
2011,IA,Iowa,PET,0.495495258049
2011,UT,Utah,PET,0.1484317048229
2011,MI,Michigan,COL,181.7547969329277
2011,OR,Oregon,SUN,0.0002579025416
2011,WA,Washington,WND,17.8319913140496
2011,WA,Washington,PET,0.0532070527585
2011,MD,Maryland,SUN,0.0077048384303
2011,ID,Idaho,PET,9.671345309999999e-05
2011,CT,Connecticut,PET,0.6486131692811999
2011,AZ,Arizona,PET,0.160720174788
2011,NM,New Mexico,NG,21.268000499390098
2011,NM,New Mexico,WND,5.9827674765335
2011,NM,New Mexico,PET,0.118869625992
2011,ND,North Dakota,PET,0.1383793671219
2011,DE,Delaware,PET,0.1295256900972
2011,MO,Missouri,PET,0.2667357036498
2011,MO,Missouri,NG,11.097086243468098
2011,MN,Minnesota,WND,19.0869890421357
2011,WI,Wisconsin,PET,1.3720092834943
2011,WI,Wisconsin,NG,13.9011697262532
2011,NV,Nevada,SUN,0.7342309516709999
2011,NC,North Carolina,NG,26.443963835188498
2011,AZ,Arizona,NUC,95.9196876911692
2011,UT,Utah,NG,12.1433323791039
2011,WY,Wyoming,COL,127.3596340566477
2011,PA,Pennsylvania,PET,1.5809074114796
2011,HI,Hawaii,NG,0.0
2011,GA,Georgia,PET,0.2981763680394
2011,CO,Colorado,COL,104.84121652999559
2011,CA,California,WND,22.0731868878188
2011,CA,California,SUN,2.4507716543466
2011,CA,California,COL,4.9790693988403
2011,MA,Massachusetts,NG,56.4132150957716
2011,OK,Oklahoma,NG,80.1552688153091
2011,VT,Vermont,NUC,15.0493635642992
2011,NJ,New Jersey,NG,55.0952569097174
2011,OR,Oregon,COL,9.7580386632167
2011,ID,Idaho,WND,3.7207482448204
2011,KY,Kentucky,COL,281.8219414161266
2011,OH,Ohio,PET,4.3255150513189005
2011,NY,New York,NUC,130.9325982837099
2011,AL,Alabama,NUC,120.7057015919965
2011,IL,Illinois,WND,17.6917597377653
2011,CO,Colorado,WND,14.7836360251302
2011,OH,Ohio,NUC,45.6986217671819
2011,SD,South Dakota,WND,7.597926103963999
2011,TX,Texas,WND,86.985017545564
2011,AZ,Arizona,WND,0.7277570117347
2011,CO,Colorado,PET,0.0848528668971
2011,TX,Texas,NUC,121.58975047465148
2011,MS,Mississippi,NG,71.8785578754074
2011,MN,Minnesota,PET,0.0874348230238
2011,MN,Minnesota,NUC,36.6915513444439
2011,NM,New Mexico,SUN,0.36391220904039995
2011,NV,Nevada,NG,47.8751609599081
2011,AL,Alabama,PET,0.3184686089262
2011,MA,Massachusetts,PET,0.5963673896323
2011,OR,Oregon,WND,13.5977766931678
2011,MD,Maryland,NG,6.023577623031
2011,VT,Vermont,PET,0.0319037166802
2011,AR,Arkansas,NUC,43.53004238471689
2011,AL,Alabama,NG,102.2613236236284
2011,VA,Virginia,COL,59.2400936463813
2011,TN,Tennessee,PET,0.6330100655144
2011,TN,Tennessee,NUC,82.5529242689289
2011,NH,New Hampshire,WND,0.18819558760049998
2011,PA,Pennsylvania,NUC,233.5490009543289
2011,WV,West Virginia,NG,0.7833057023425001
2011,TX,Texas,COL,491.03707558571347
2011,WY,Wyoming,WND,13.132198129944399
2011,WY,Wyoming,PET,0.1777563960871
2011,NC,North Carolina,PET,0.6480240964305
2011,MT,Montana,NG,1.3938958310018998
2011,SC,South Carolina,PET,0.3236559668652
2011,AR,Arkansas,COL,88.0804234224816
2011,PA,Pennsylvania,SUN,0.0504756303861
2011,PA,Pennsylvania,WND,5.1096999668714
2011,NC,North Carolina,SUN,0.049487980880200004
2011,NC,North Carolina,COL,174.43091865581
2011,MA,Massachusetts,SUN,0.011725773510699998
2011,RI,Rhode Island,NG,19.149829340965102
2011,MO,Missouri,NUC,28.738994592226398
2011,PA,Pennsylvania,NG,90.2721524887659
2011,PA,Pennsylvania,COL,263.3368617375569
2011,NE,Nebraska,NG,1.2488285820626002
2011,NM,New Mexico,COL,83.2808190240665
2011,NJ,New Jersey,NUC,103.0607453041102
2011,NJ,New Jersey,PET,0.39293796781319995
2011,VA,Virginia,PET,1.4894135541362998
2011,AR,Arkansas,NG,30.1399299903297
2011,IL,Illinois,PET,0.2726879770815
2011,IN,Indiana,WND,9.351554950548099
2011,IN,Indiana,PET,3.0104113774865
2011,SD,South Dakota,PET,0.0360565337421
2011,IL,Illinois,NUC,293.8605800168944
2011,CA,California,NUC,112.4749676415564
2011,OK,Oklahoma,WND,15.960873206213199
2011,AK,Alaska,NG,12.4099068936652
2011,IL,Illinois,COL,274.9785209204562
2011,MT,Montana,PET,1.4894369998219
2011,MI,Michigan,WND,1.299799502557
2011,MI,Michigan,NG,28.819211074796097
2011,MA,Massachusetts,NUC,15.594821578361799
2011,KS,Kansas,PET,0.2190882090892
2011,NY,New York,NG,125.713802611031
2011,SC,South Carolina,NG,30.1957160685042
2011,AK,Alaska,COL,1.0249808987966
2011,FL,Florida,NUC,67.5846681232522
2011,ME,Maine,NG,10.357744132336299
2011,NH,New Hampshire,PET,0.235980825564
2011,WA,Washington,NG,10.3758764394372
2011,LA,Louisiana,PET,14.254803932868699
2011,TN,Tennessee,COL,120.8747860151223
2011,WA,Washington,NUC,14.739391085692299
2011,OR,Oregon,PET,0.0197060987468
2011,VT,Vermont,SUN,0.0051697736748
2011,VT,Vermont,NG,0.0145920085753
2011,NH,New Hampshire,NG,14.287777358954399
2011,NH,New Hampshire,COL,7.1769353733304
2011,UT,Utah,COL,95.90480554223458
2011,KS,Kansas,WND,10.5925585350417
2011,FL,Florida,SUN,0.3590296450142
2011,SC,South Carolina,COL,99.9003606679726
2011,IN,Indiana,COL,319.01613602201684
2011,GA,Georgia,NUC,99.08790025558649
2011,GA,Georgia,COL,177.3941690367121
2011,TX,Texas,PET,2.5278112465174996
2011,WA,Washington,SUN,0.0023914599312
2011,ME,Maine,WND,2.0121409760096998
2011,WA,Washington,COL,16.1539191200222
2011,NJ,New Jersey,SUN,0.1729148620107
2011,CT,Connecticut,NUC,48.8458299280123
2011,CT,Connecticut,COL,1.7271410832775
2011,LA,Louisiana,COL,78.7463267155734
2011,LA,Louisiana,NG,82.6666885968815
2011,NE,Nebraska,NUC,21.2948223637165
2011,NE,Nebraska,COL,78.0562439898872
2011,AR,Arkansas,PET,0.1629006235488
2011,MO,Missouri,WND,3.354931073825
2011,NY,New York,COL,27.975386196498597
2011,ND,North Dakota,COL,88.0677891286539
2011,MN,Minnesota,COL,85.056316833894
2011,NJ,New Jersey,COL,13.2386767110968
2011,MT,Montana,COL,47.0833972264854
2011,MO,Missouri,COL,237.5111078788478
2011,KY,Kentucky,NG,4.648186299388899
2011,ME,Maine,PET,0.4411569509603
2011,KS,Kansas,COL,100.82142442676859
2011,OR,Oregon,NG,17.7068997892415
2011,NY,New York,SUN,0.018346248982
2011,ME,Maine,COL,0.0554754228403
2011,ND,North Dakota,NG,0.0001201591387
2011,AL,Alabama,COL,171.5881761681812
2011,TN,Tennessee,NG,7.7519437433811
